Name,Desc
RubyDex,Decentralized Perpetual Contract Exchange.
Hyperliquid,"Hyperliquid is a decentralized perpetual exchange with best-in-class speed, liquidity, and price."
EMDX,"EMDX is a decentralized derivative protocol with an in-house spot market, expanding risk hedging tools for traditional assets into the DeFi environment and allowing token listing “on demand” with “liquidity as a service” from the start."
SpaceDex,"SpaceDex is a decentralized perpetual exchange platform that offers low swap fees with no price impact trades. Our platform offers a unique multi-asset pool in which users can earn rewards for providing liquidity via market making, swap, and leverage trades"
Unbound,Unbound is a decentralized cross-chain liquidity protocol that is building the derivative layer of Automated Market Makers (AMM)
DPEX,"Decentralized Perpetual Exchange. Trade Bitcoin, Ethereum, and other digital currencies with up to 50X leverage from the comfort of your web3 wallet, such as Metamask or Coinbase Wallet - no need for a middleman."
Numoen,"Numoen is an application for interacting with the Power Market Maker Protocol (PMMP). Deployed as a set of smart contracts on the blockchain, PMMP is an automated liquidity provider for Power Tokens. With these fungible leveraged tokens, traders can get squared leverage on any market with no liquidations. As a fully autonomous protocol, there are no admin functions and zero external dependencies. The core smart contracts are non-upgradable."
Vanilla,A decentralized meritocracy for investors
Chaotic Finance,The first community-driven delta-one asset protocol on Moonriver
Syrup Finance,"Fully Decentralized Spot & Perpetual Exchange. Go long, go short or swap crypto in self-custody, with up to 100x more buying power"
Logium,"Logium is the first decentralized platform that allows users to trade and bet on the price of any token available on Uniswap. By using Logium, users can long and short ERC-20 tokens with leverage."
Pegasus Finance,A speculation-focused interest rate perp with novel tokenomics on Optimism.
Phission Finance,Phission provides a market to trade PoW-ETH and PoS-ETH heading into the Ethereum Merge
KMex,KMex is a perpetual decentralized exchange created to offer a large selection of trading options and extremely high levels of liquidity on numerous cryptocurrencies
Vela Exchange,"Vela Exchange is a decentralized exchange with advanced perpetuals trading capabilities, community focused incentives, and scalable infrastructure"
Deridex,"Deridex is a decentralized on-chain derivatives platform built on the Algorand blockchain, offering a range of leveraged financial products to users."
NEX,"NEX aims to maximize the synergy of combining the advantages of DEX with CEXs’ seamless user experience. Supporting zero price-impact trades and minimal slippage with the use of oracle price feeds, NEX optimizes trading and swaps processes for any trader. NEX’s unique multi-asset liquidity pool empowers investors to hedge their portfolios and earn additional APR."
Peaky Finance,Peaky Finance is a DAO that powers a suite of protocols to solve some of the common pain points of Decentralised Finance.
JOJO,JOJO is a decentralized perpetual contract exchange based on an off-chain matching system.
Mirror,Synthetics protocol for on-chain price exposure to real-world assets - accessible to all.
Strips Finance,Strips Finance is an interest rate derivatives platform.
KPerp Exchange,KPerp.Exchange is a decentralized exchange created to offer a broad selection of trading options and extremely high levels of liquidity on numerous cryptocurrencies.
Athos Finance,The first decentralized delta-one asset protocol on Moonbeam.
Y2B Finance,"Y2B is a crypto-native take on structured products on-chain, the protocol provides exotic peg markets which allow users to hedge, leverage, speculate and trade the different components of pegged assets. The protocol launches with 2 different products Typhoon, a 1155 vault allowing users to take risk or hedge against a potential peg deviation, and Volcano, a liquidation wrapper and aggregator that redefines how collateral auctions for bad debt are conducted."
HXRO Network,A core derivatives primitive built on Solana.
Sakai Vault,"Sakai Vault is a new decentralized exchange platform that provides fast and secure transactions at low fees. Its perpetual exchange feature enables traders to engage in futures trading without expiration dates, while its AI-powered trading strategies offer an informed and profitable trading experience."
