Name,URL,MAX TVL,Desc,Website,Twitter
Alpaca Perpetual Futures Exchange,https://defillama.com/protocol/alpaca-perpetual-futures-exchange,"$4,927,658","Perpetual Futures allow users to have leveraged long or short exposure on assets without an expiration date. In place of expiration, users pay ongoing fees as unrealized P/L in the positions while the positions are open.",https://app.alpacafinance.org/perpetual/trade,https://twitter.com/AlpacaFinance
Hakka Finance,https://defillama.com/protocol/hakka-finance,"$4,574,760",Hakka Decentralized Finance Ecosystem Warped Spacetime with Crypto Native Primitives.,https://hakka.finance/,https://twitter.com/hakkafinance
Erasure,https://defillama.com/protocol/erasure,"$4,323,258",A new kind of hedge fund built by a network of data scientists,https://erasure.world/,https://twitter.com/numerai
UniDex,https://defillama.com/protocol/unidex,"$4,092,904","UniDex is a DeFi aggregation layer making interesting trading products such as leverage trading aggregation, derivatives, and other trading products.",https://unidex.exchange,https://twitter.com/UniDexFinance
Jarvis Network,https://defillama.com/protocol/jarvis-network,"$3,766,367",Jarvis Network is a set of protocols to gain exposure to the price of any asset against liquidity pools.,https://jarvis.network/,https://twitter.com/Jarvis_Network
Morphex,https://defillama.com/protocol/morphex,"$3,665,388","Decentralized perpetual exchange, powered by Fantom.",https://www.morphex.trade,https://twitter.com/MorphexFTM
Fulcrom,https://defillama.com/protocol/fulcrom,"$3,456,865","Fulcrom is a decentralised perpetual exchange that allows users to trade leveraged positions with low fees and zero price impact, whilst having the peace of mind that all trades and collateral are stored transparently on-chain.",https://fulcrom.finance,https://twitter.com/FulcromFinance
Hubble Exchange,https://defillama.com/protocol/hubble-exchange,"$2,843,499",Hubble Exchange is decentralized Multi-collateral/Cross-Margin Perpetual Futures on Avalanche,https://hubble.exchange/,https://twitter.com/HubbleExchange
Polynomial Trade,https://defillama.com/protocol/polynomial-trade,"$2,318,753",Leveraging decentralised finance derivatives to their fullest potential,https://trade.polynomial.fi,https://twitter.com/PolynomialFi
Voltz,https://defillama.com/protocol/voltz,"$2,240,269",Voltz Protocol is a non-custodial Automated Market Maker for Interest Rate Swaps.,https://www.voltz.xyz,https://twitter.com/voltz_xyz
Y2K Finance,https://defillama.com/protocol/y2k-finance,"$1,908,711","Y2K Finance is a suite of structured products designed for exotic peg derivatives, that will allow market participants the ability to robustly hedge or speculate on the risk of a particular pegged asset (or basket of pegged assets), deviating from their ‘fair implied market value’.",https://www.y2k.finance,https://twitter.com/y2kfinance
Bluefin,https://defillama.com/protocol/bluefin,"$1,896,466",Bluefin is a decentralized exchange (DEX) for derivatives currently offering perpetual swaps trading with up to 20x leverage using isolated margin. The exchange is non-custodial and uses an off-chain order book for efficient price discovery.,https://bluefin.io,https://twitter.com/bluefinapp
DerivaDEX,https://defillama.com/protocol/derivadex,"$1,632,164","The next generation of derivatives trading.",http://derivadex.com,https://twitter.com/DDX_official
Mycelium,https://defillama.com/protocol/mycelium,"$1,628,910","Previously Tracer DAO. Trade with liquidity, leverage and low fees.",https://mycelium.xyz,https://twitter.com/mycelium_xyz
Cap Finance,https://defillama.com/protocol/cap-finance,"$1,612,458",Decentralized Perps. Trade with up to 100x leverage directly from your wallet. ,https://www.cap.io,https://twitter.com/CapDotFinance
Perp88,https://defillama.com/protocol/perp88,"$1,484,397",Perp88 is a Decentralized Perpetual & Spot Exchange operating on Polygon,https://perp88.com/,https://twitter.com/0xPerp88
handle.fi Perps,https://defillama.com/protocol/handle.fi-perps,"$1,476,250","the global defi FX protocol. borrow, convert & trade multi-currency #stablecoins ",https://app.handle.fi/trade,https://twitter.com/handle_fi
Madmex,https://defillama.com/protocol/madmex,"$1,445,952",GMX fork on polygon network,https://madmex.io/#/dashboard,https://twitter.com/MMFcrypto
Lif3 Trade,https://defillama.com/protocol/lif3-trade,"$1,249,408",Lif3 Trade is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades,https://trade.lif3.com/trade,https://twitter.com/Official_LIF3
Uniwhale,https://defillama.com/protocol/uniwhale,"$1,020,014","Uniwhale is an oracle-based decentralized on-chain perpetual trading exchange where you can trade, with up to 200x leverage, BTC, ETH, and many mainstream crypto assets, directly from your wallet. You can provide liquidity with stablecoins like BUSD, USDC, USDT, and more, to earn real yield from market-making and leverage trading.",https://www.uniwhale.co,https://twitter.com/UniwhaleEx
HashDAO Finance,https://defillama.com/protocol/hashdao-finance,"$1,010,911",HashDAO is a decentralized and non-custodial perpetual DEX on Arbitrum focused on delivering highly effective risk management along with first of a kind liquidity solution for LPs using original code designed from the ground up.,https://www.hashdao.finance,https://twitter.com/HashDAOFinance
El Dorado Exchange,https://defillama.com/protocol/el-dorado-exchange,"$979,800","El Dorado Exchange(EDE) is a decentralized spot and perpetual social trading exchange which prioritizes user security and stable investor returns. In EDE, all the interactions will happen on-chain. Trading is supported by 3 unique multi-asset pools",https://ede.finance,https://twitter.com/ede_finance
Contango,https://defillama.com/protocol/contango,"$973,017","Contango is a unique decentralized market offering expirables, contracts to buy or sell an asset at a set price and date in the future",https://contango.xyz/,https://twitter.com/Contango_xyz
FutureSwap,https://defillama.com/protocol/futureswap,"$942,810",Futureswap is a decentralized perpetuals exchange governed by the community.,https://www.futureswap.com/,https://twitter.com/futureswapx
Tethys Perpetual,https://defillama.com/protocol/tethys-perpetual,"$930,061","A decentralized perpetual exchange to offer $METIS leverage trading, trade up to 50x leverage",https://tethys.finance/#/trade,https://twitter.com/tethysfinance
Onchain Trade,https://defillama.com/protocol/onchain-trade,"$852,659","Onchain Trade(OT) is a vertically integrated DeFi protocol where people can provide liquidity, swap, borrow and trading perpetuals with 0 slippage. OT designed single side AMM pools so that liquidity can be used for swap as well as borrow, allowing LPs to earn both swap fees and borrow interest, which increases capital efficiency and decreases Impermanent Loss for LPs.",https://onchain.trade,https://twitter.com/OnchainTrade
AnyHedge,https://defillama.com/protocol/anyhedge,"$831,434","AnyHedge allows users to take leveraged long or short positions against main-chain BCH. It is permissionless, non-custodial, and on-chain. The contracts are fully funded on creation and have no counterparty risk. The risks are early liquidation, slippage, and oracle risks.",https://anyhedge.com/,https://twitter.com/AnyHedge
MetalSwap,https://defillama.com/protocol/metalswap,"$513,480",MetalSwap is a decentralized platform that allows hedging swaps on financial markets with the aim of providing a coverage to those who work with commodities and an investment opportunity for those who contribute to increase the shared liquidity of the project.,https://metalswap.finance,https://twitter.com/MetalSwapNet
OPX Finance,https://defillama.com/protocol/opx-finance,"$471,939",OPX (Decentralized Spot & Perpetual Exchange) - the next DEX generation in Optimizing Investment Efficiency & Leverage Trading,https://www.opx.finance/#/trade,https://twitter.com/opxfinance
MyMetaTrader,https://defillama.com/protocol/mymetatrader,"$403,068","mTrader is a derivative DEX built on the Arbitrum One blockchain. mTrader aims to revolutionize the future of trading. As a decentralized platform, mTrader is governed by the community, with proposals and funding allocated through a transparent and democratic process. ",https://www.mtrader.finance,https://twitter.com/MyMetaTrader
prePO,https://defillama.com/protocol/prepo,"$296,180",Go long or short on pre-IPO stocks & pre-IDO tokens.,https://app.prepo.io/trade,https://twitter.com/prepo_io
Predy Finance,https://defillama.com/protocol/predy-finance,"$274,189","Predy V3.2 allows traders to utilize portfolio margin for Squart and ETH perpetual trading while simplifying the creation of delta-neutral and leveraged LP positions. Rest assured, LP positions will always remain in-range, Squart addresses the liquidity fragmentation issue commonly found in perpetual options by eliminating strikes. This ensures positions consistently possess gamma, similar to at-the-money options.",https://www.predy.finance,https://twitter.com/predyfinance
Lemma,https://defillama.com/protocol/lemma,"$267,111","Lemma is a decentralized finance (DeFi) protocol with two products: leveraged basis trading vault and USDL, a stablecoin that is fully decentralized, 100% capital efficient and USD pegged. It also has a spot exchange that allows traders to swap spot assets using perpetual futures markets much deeper liquidity called LemmaSwap.",https://lemma.finance,https://twitter.com/LemmaFinance
Covo Finance,https://defillama.com/protocol/covo-finance,"$260,836","Covo Finance is a decentralized trading platform that offers spot and perpetual trading with low swap fees and zero market impact. The platform offers a maximum leverage of 50x on major cryptos and is backed by a singular multi-asset pool that generates income for liquidity providers through fees garnered from market making, swap transactions, leveraged trading (including spreads, funding fees, and liquidations), and rebalancing of assets.",https://covo.finance,https://twitter.com/covofinance
SynFutures,https://defillama.com/protocol/synfutures,"$167,415","SynFutures is a next-generation derivatives exchange focused on creating an open and trustless derivatives market by enabling futures trading on anything, anytime, anywhere. By cultivating a free market and maximizing the variety of tradable assets, SynFutures is lowering the barrier to entry in the derivatives market, creating a more equitable derivatives market.",https://www.synfutures.com/,https://twitter.com/SynFuturesDefi
Ideamarket,https://defillama.com/protocol/ideamarket,"$164,995","Ideamarket replaces the ""arbiter of credibility"" function (typically played by media corporations) with a public market.",https://ideamarket.io,https://twitter.com/ideamarket_io
CompliFi,https://defillama.com/protocol/complifi,"$159,363","Decentralised derivatives. No defaults, no margin calls, no liquidations.",https://compli.fi/,https://twitter.com/CompliFi_Pro
Float,https://defillama.com/protocol/float,"$158,342","Float allows you to get perpetual, leveraged exposure to any crypto asset, without worrying about liquidations or managing debt positions.",https://float.capital,https://twitter.com/float_shipping
Cranium Exchange,https://defillama.com/protocol/cranium-exchange,"$131,974","Cranium is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades. Trading is supported by a unique multi-asset pool that earns liquidity providers fees from market making, swap fees, leverage trading (spreads, funding fees & liquidations) and asset rebalancing",https://cranium.exchange/,https://twitter.com/craniumexchange
BayMax,https://defillama.com/protocol/baymax,"$123,780","Decentralized -Perpetual Exchange. Trade BTC, ETH, AVAX and other top cryptocurrencies with up to 50x leverage directly from your wallet",https://www.baymax.fi,https://twitter.com/baymaxfi
Cypher,https://defillama.com/protocol/cypher,"$120,179",Building Disneyland for derivatives on Solana.,https://app.cypher.trade,https://twitter.com/cypher_protocol
Spin Perps,https://defillama.com/protocol/spin-perps,"$108,217",The best of centralized and decentralized finance in one on-chain trading solution.,https://perp.spin.fi,https://twitter.com/spin_fi
RubyDex,https://defillama.com/protocol/rubydex,"$102,180",Decentralized Perpetual Contract Exchange.,https://rubydex.com,https://twitter.com/Ruby_Dex
Hyperliquid,https://defillama.com/protocol/hyperliquid,"$87,102","Hyperliquid is a decentralized perpetual exchange with best-in-class speed, liquidity, and price.",https://hyperliquid.xyz,https://twitter.com/HyperliquidX
EMDX,https://defillama.com/protocol/emdx,"$52,971","EMDX is a decentralized derivative protocol with an in-house spot market, expanding risk hedging tools for traditional assets into the DeFi environment and allowing token listing “on demand” with “liquidity as a service” from the start.",https://emdx.io/,https://twitter.com/emdx_io
SpaceDex,https://defillama.com/protocol/spacedex,"$58,648","SpaceDex is a decentralized perpetual exchange platform that offers low swap fees with no price impact trades. Our platform offers a unique multi-asset pool in which users can earn rewards for providing liquidity via market making, swap, and leverage trades",https://app.space-dex.io,https://twitter.com/spacedexF
Unbound,https://defillama.com/protocol/unbound,"$51,361",Unbound is a decentralized cross-chain liquidity protocol that is building the derivative layer of Automated Market Makers (AMM),https://www.unbound.finance/,https://twitter.com/unboundfinance
DPEX,https://defillama.com/protocol/dpex,"$48,524","Decentralized Perpetual Exchange. Trade Bitcoin, Ethereum, and other digital currencies with up to 50X leverage from the comfort of your web3 wallet, such as Metamask or Coinbase Wallet - no need for a middleman.",https://dpex.io,https://twitter.com/DPEX_io
Numoen,https://defillama.com/protocol/numoen,"$43,719","Numoen is an application for interacting with the Power Market Maker Protocol (PMMP). Deployed as a set of smart contracts on the blockchain, PMMP is an automated liquidity provider for Power Tokens. With these fungible leveraged tokens, traders can get squared leverage on any market with no liquidations. As a fully autonomous protocol, there are no admin functions and zero external dependencies. The core smart contracts are non-upgradable.",https://app.numoen.com/trade,https://twitter.com/numoen
Vanilla,https://defillama.com/protocol/vanilla,"$23,645",A decentralized meritocracy for investors,https://vanilladefi.com,https://twitter.com/VanillaDeFi
Chaotic Finance,https://defillama.com/protocol/chaotic-finance,"$16,304",The first community-driven delta-one asset protocol on Moonriver,https://chaotic.finance/,https://twitter.com/Chaotic_Finance
Syrup Finance,https://defillama.com/protocol/syrup-finance,"$2,567","Fully Decentralized Spot & Perpetual Exchange. Go long, go short or swap crypto in self-custody, with up to 100x more buying power",https://syrup.finance/,https://twitter.com/syrupfinance
Logium,https://defillama.com/protocol/logium,"$2,165","Logium is the first decentralized platform that allows users to trade and bet on the price of any token available on Uniswap. By using Logium, users can long and short ERC-20 tokens with leverage.",https://logium.org,https://twitter.com/LogiumDEX
Pegasus Finance,https://defillama.com/protocol/pegasus-finance,"$1,175",A speculation-focused interest rate perp with novel tokenomics on Optimism.,https://www.pegasusfinance.xyz,https://twitter.com/0xPegasusFi
Phission Finance,https://defillama.com/protocol/phission-finance,"$1,064",Phission provides a market to trade PoW-ETH and PoS-ETH heading into the Ethereum Merge,https://phission.finance/,https://twitter.com/phissionfinance
KMex,https://defillama.com/protocol/kmex,$423.23,KMex is a perpetual decentralized exchange created to offer a large selection of trading options and extremely high levels of liquidity on numerous cryptocurrencies,https://kmex.io,https://twitter.com/kmex_io
Vela Exchange,https://defillama.com/protocol/vela-exchange,$228.07,"Vela Exchange is a decentralized exchange with advanced perpetuals trading capabilities, community focused incentives, and scalable infrastructure",https://www.vela.exchange/,https://twitter.com/vela_exchange
Deridex,https://defillama.com/protocol/deridex,$202.44,"Deridex is a decentralized on-chain derivatives platform built on the Algorand blockchain, offering a range of leveraged financial products to users.",https://app.deridex.org,https://twitter.com/DeridexHQ
NEX,https://defillama.com/protocol/nex,$126.95,"NEX aims to maximize the synergy of combining the advantages of DEX with CEXs’ seamless user experience. Supporting zero price-impact trades and minimal slippage with the use of oracle price feeds, NEX optimizes trading and swaps processes for any trader. NEX’s unique multi-asset liquidity pool empowers investors to hedge their portfolios and earn additional APR.",https://nex.market,https://twitter.com/nex_market
Peaky Finance,https://defillama.com/protocol/peaky-finance,$0.78,Peaky Finance is a DAO that powers a suite of protocols to solve some of the common pain points of Decentralised Finance.,https://peaky.finance,https://twitter.com/peakyfinance
JOJO,https://defillama.com/protocol/jojo,$0,JOJO is a decentralized perpetual contract exchange based on an off-chain matching system.,https://app.jojo.exchange/trade,https://twitter.com/jojo_exchange
Mirror,https://defillama.com/protocol/mirror,$0,Synthetics protocol for on-chain price exposure to real-world assets - accessible to all.,https://mirror.finance/,https://twitter.com/mirror_protocol
Strips Finance,https://defillama.com/protocol/strips-finance,$0,Strips Finance is an interest rate derivatives platform.,https://strips.finance,https://twitter.com/StripsFinance
KPerp Exchange,https://defillama.com/protocol/kperp-exchange,$0,KPerp.Exchange is a decentralized exchange created to offer a broad selection of trading options and extremely high levels of liquidity on numerous cryptocurrencies.,https://kperp.exchange/,https://twitter.com/KPerpExchange
Athos Finance,https://defillama.com/protocol/athos-finance,$0,The first decentralized delta-one asset protocol on Moonbeam.,http://athos.finance,https://twitter.com/Athos_Finance
Y2B Finance,https://defillama.com/protocol/y2b-finance,$0,"Y2B is a crypto-native take on structured products on-chain, the protocol provides exotic peg markets which allow users to hedge, leverage, speculate and trade the different components of pegged assets. The protocol launches with 2 different products Typhoon, a 1155 vault allowing users to take risk or hedge against a potential peg deviation, and Volcano, a liquidation wrapper and aggregator that redefines how collateral auctions for bad debt are conducted.",https://y2b.finance,https://twitter.com/Y2BFinance
HXRO Network,https://defillama.com/protocol/hxro-network,$0,A core derivatives primitive built on Solana.,https://hxro.com,https://twitter.com/HxroNetwork
Sakai Vault,https://defillama.com/protocol/sakai-vault,$0,"Sakai Vault is a new decentralized exchange platform that provides fast and secure transactions at low fees. Its perpetual exchange feature enables traders to engage in futures trading without expiration dates, while its AI-powered trading strategies offer an informed and profitable trading experience.",https://sakaivault.io,https://twitter.com/SakaiVault
